City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,kingston,17.997,-76.7936,86.95,64,20,23.02,JM,1712084769
283,queenstown,-31.8976,26.8753,57.24,75,35,5.57,ZA,1712085007
284,nizwa,22.9333,57.5333,79.56,32,97,3.4,OM,1712085008
285,fort mcmurray,56.7268,-111.381,53.04,43,100,9.1,CA,1712085010
286,huangpi,30.8845,114.3779,56.03,88,100,11.63,CN,1712085011
287,fortuna,40.5982,-124.1573,58.98,89,100,10.36,US,1712085012
288,nguigmi,14.2495,13.1092,87.48,19,96,3.94,NE,1712085012
289,banff,51.1762,-115.5698,50.11,67,20,8.46,CA,1712085013
290,walvis bay,-22.9575,14.5053,59.09,82,4,3.94,NA,1712085014
291,el calafate,-50.3408,-72.2768,43.81,69,88,4.45,AR,1712085015
292,puntarenas,9.9763,-84.8384,91.38,34,8,8.59,CR,1712085016
293,barra de santo antonio,-9.4047,-35.5072,85.28,71,94,8.59,BR,1712085017
294,gurupi,-11.7292,-49.0686,87.17,63,100,3.04,BR,1712084976
295,richfield,44.8833,-93.283,40.35,84,100,13.8,US,1712085019
296,puerto aysen,-45.4,-72.7,42.58,100,100,4.43,CL,1712084789
297,salinopolis,-0.6136,-47.3561,83.79,76,98,9.89,BR,1712084785
298,bambanglipuro,-7.95,110.2833,78.19,92,99,5.53,ID,1712085021
299,catemaco,18.4167,-95.1167,97.41,34,6,12.53,MX,1712085022
300,taro,-8.3862,115.28,77.0,95,76,0.25,ID,1712085023
301,kati,12.7441,-8.0726,105.21,13,84,6.13,ML,1712085023
302,hithadhoo,-0.6,73.0833,83.1,77,100,7.58,MV,1712085024
303,sanghar,26.0466,68.9481,79.81,45,100,14.47,PK,1712084897
304,ulaangom,49.9811,92.0667,21.9,91,95,2.8,MN,1712085026
305,jindabyne,-36.4167,148.6333,43.61,95,7,3.04,AU,1712085028
306,juan de ayolas,-27.4,-56.9,92.32,43,15,3.71,PY,1712084824
307,seven pagodas,12.6264,80.1722,84.25,83,66,8.97,IN,1712085030
308,kailua-kona,19.6406,-155.9956,79.29,76,40,5.75,US,1712084745
309,ishigaki,24.3448,124.1572,76.91,88,99,22.26,JP,1712084905
310,ziguinchor,12.5833,-16.2719,84.4,37,8,13.96,SN,1712085033
311,saint-philippe,-21.3585,55.7679,76.59,83,100,16.58,RE,1712085034
312,masterton,-40.9597,175.6575,48.09,97,16,3.09,NZ,1712085035
313,joshimath,30.5667,79.5667,51.57,60,100,6.33,IN,1712085036
314,razole,16.4833,81.8333,78.55,94,0,4.05,IN,1712085036
315,codrington,-38.2667,141.9667,54.07,89,24,5.21,AU,1712085037
316,fauske,67.2588,15.3918,21.24,83,4,7.54,NO,1712085038
317,kamennomostskoye,43.7372,43.0514,54.41,62,18,4.21,RU,1712084788
318,road town,18.4167,-64.6167,82.44,65,20,12.66,VG,1712084915
319,puerto armuelles,8.2833,-82.8667,91.38,54,72,1.01,PA,1712085041
320,camiri,-20.05,-63.5167,86.58,51,47,6.04,BO,1712085042
321,contamana,-7.3333,-75.0167,91.24,55,31,3.24,PE,1712085043
322,ormara,25.2088,64.6357,76.35,82,6,13.89,PK,1712085044
323,rawai,7.7797,98.3253,89.98,65,40,9.4,TH,1712085047
324,gobernador virasora,-28.05,-56.0333,87.04,73,7,1.99,AR,1712085047
325,uttar char fasson,22.2332,90.7132,80.94,91,0,9.78,BD,1712085048
326,qamdo,31.1667,97.2333,30.51,65,81,5.97,CN,1712085049
327,pangody,65.85,74.4859,26.98,96,100,20.51,RU,1712085050
328,villa huidobro,-34.8383,-64.5869,78.94,31,7,20.42,AR,1712085051
329,namdrik,5.5994,168.1028,82.11,78,95,18.95,MH,1712085052
330,irymple,-34.25,142.1667,51.1,88,0,6.87,AU,1712085054
331,aksu,41.1231,80.2644,49.84,39,5,4.45,CN,1712085054
332,yanggu,36.1106,115.7753,50.54,50,100,15.21,CN,1712085055
333,saynshand,44.8824,110.1163,37.15,46,31,14.05,MN,1712085056
334,dongcun,36.7767,121.1597,53.19,93,100,10.27,CN,1712085057
335,georgetown,5.4112,100.3354,85.95,79,20,2.3,MY,1712084892
336,saguenay,48.4168,-71.0657,47.08,42,75,3.0,CA,1712085058
337,mar del plata,-38.0023,-57.5575,70.52,51,75,18.99,AR,1712084882
338,shimanovsk,52.0,127.7,24.08,88,47,4.92,RU,1712085060
339,neyriz,29.1988,54.3278,60.08,43,91,5.93,IR,1712085061
340,natal,-5.795,-35.2094,86.65,70,75,11.5,BR,1712085056
341,lae,-6.7221,146.9847,78.49,87,100,3.53,PG,1712085063
342,luena,-11.7833,19.9167,65.03,94,100,0.81,AO,1712085064
343,kiunga,-6.1219,141.2906,74.39,100,100,2.13,PG,1712085066
344,wenchang,30.904,118.4887,66.09,97,100,10.49,CN,1712085067
345,pyhajarvi,67.0701,27.2176,3.7,94,96,4.21,FI,1712085067
346,borogontsy,62.6683,131.1683,-5.51,100,100,3.15,RU,1712085068
347,bandarbeyla,9.4942,50.8122,81.84,72,64,10.6,SO,1712085069
348,chibougamau,49.9168,-74.3659,35.22,44,0,10.36,CA,1712084794
349,beau vallon,-20.4189,57.6953,78.22,82,100,19.3,MU,1712085070
350,tionk essil,12.7856,-16.5217,78.62,49,11,15.84,SN,1712085071
351,colonia general alfredo stroessner,-25.3667,-55.7,90.07,42,98,1.36,PY,1712085072
352,qui nhon,13.7667,109.2333,77.5,88,10,11.34,VN,1712085073
353,alvaraes,-3.2208,-64.8042,91.27,85,99,2.08,BR,1712084800
354,merritt,50.1123,-120.7942,62.33,41,97,4.0,CA,1712085075
355,tarfaya,27.9358,-12.9218,65.84,72,0,15.21,MA,1712085076
356,flin flon,54.7682,-101.865,37.36,88,95,6.35,CA,1712084885
357,hadibu,12.65,54.0333,81.07,73,76,8.61,YE,1712085078
358,beira,-19.8436,34.8389,77.67,85,6,6.96,MZ,1712085079
359,port-cartier,50.0334,-66.8654,38.75,99,100,8.97,CA,1712085080
360,copala,16.65,-98.9833,86.67,54,57,11.95,MX,1712085081
361,marinette,45.1,-87.6307,37.49,87,100,20.71,US,1712085082
362,jhalu,29.35,78.25,70.74,21,100,7.81,IN,1712085083
